thread#,description,red,green,blue,row
967,Apricot Very Light,255,222,213,row 14-21
3824,Apricot Light,254,205,194,row 14-22
3341,Apricot,252,171,152,row 14-23
3340,Apricot Med,255,131,111,row 14-24
993,Aquamarine Vy Lt,144,192,180,row 09-08
992,Aquamarine Lt,111,174,159,row 09-09
3814,Aquamarine,80,139,125,row 09-10
991,Aquamarine Dk,71,123,110,row 09-11
3864,Mocha Beige Light,203,182,156,row 17-20
3863,Mocha Beige Med,164,131,92,row 17-21
3862,Mocha Beige Dark,138,110,78,row 17-22
3047,Yellow Beige Lt,231,214,193,row 13-05
3046,Yellow Beige Md,216,188,154,row 13-06
3045,Yellow Beige Dk,188,150,106,row 13-07
167,Yellow Beige V Dk,167,124,73,row 13-08
310,Black,0,0,0,row 19-16
162,Blue Ultra Very Light,219,236,245,row 06-11
827,Blue Very Light,189,221,237,row 06-12
813,Blue Light,161,194,215,row 06-13
826,Blue Medium,107,158,191,row 06-14
825,Blue Dark,71,129,165,row 06-15
824,Blue Very Dark,57,105,135,row 06-16
3753,Antique Blue Ult Vy Lt,219,226,233,row 07-16
3752,Antique Blue Very Lt,199,209,219,row 07-17
932,Antique Blue Light,162,181,198,row 07-18
931,Antique Blue Medium,106,133,158,row 07-19
930,Antique Blue Dark,69,92,113,row 07-20
3750,Antique Blue Very Dk,56,76,94,row 07-21
3756,Baby Blue Ult Vy Lt,238,252,252,row 07-04
775,Baby Blue Very Light,217,235,241,row 07-05
3841,Baby Blue Pale,205,223,237,row 07-06
3325,Baby Blue Light,184,210,230,row 07-07
3755,Baby Blue,147,180,206,row 07-08
334,Baby Blue Medium,115,159,193,row 07-09
322,Baby Blue Dark,90,143,184,row 07-10
312,Baby Blue Very Dark,53,102,139,row 07-11
803,Baby Blue Ult Vy Dk,44,89,124,row 07-12
157,Cornflower Blue Vy Lt,187,195,217,row 05-19
794,Cornflower Blue Light,143,156,193,row 05-20
793,Cornflower Blue Med,112,125,162,row 05-21
3807,Cornflower Blue,96,103,140,row 05-22
792,Cornflower Blue Dark,85,91,123,row 05-23
158,Cornflower Blu M V D,76,82,110,row 05-24
791,Cornflower Blue V D,70,69,99,row 05-25
800,Delft Blue Pale,192,204,222,row 06-04
809,Delft Blue,148,168,198,row 06-05
799,Delft Blue Medium,116,142,182,row 06-06
798,Delft Blue Dark,70,106,142,row 06-07
996,Electric Blue Medium,48,194,236,row 06-17
3843,Electric Blue,20,170,208,row 06-18
995,Electric Blue Dark,38,150,182,row 06-19
3840,Lavender Blue Light,176,192,218,row 06-01
3839,Lavender Blue Med,123,142,171,row 06-02
3838,Lavender Blue Dark,92,114,148,row 06-03
336,Navy Blue,37,59,115,row 07-13
823,Navy Blue Dark,33,48,99,row 07-14
939,Navy Blue Very Dark,27,40,83,row 07-15
747,Peacock Blue Vy Lt,229,252,253,row 08-09
3766,Peacock Blue Light,153,207,217,row 08-10
807,Peacock Blue,100,171,186,row 08-11
806,Peacock Blue Dark,61,149,165,row 08-12
3765,Peacock Blue Vy Dk,52,127,140,row 08-13
797,Royal Blue,19,71,125,row 06-08
796,Royal Blue Dark,17,65,109,row 06-09
820,Royal Blue Very Dark,14,54,92,row 06-10
828,Sky Blue Vy Lt,197,232,237,row 08-01
3761,Sky Blue Light,172,216,226,row 08-02
519,Sky Blue,126,177,200,row 08-03
435,Brown Very Light,184,119,72,row 17-12
434,Brown Light,152,94,51,row 17-13
433,Brown Med,122,69,31,row 17-14
543,Beige Brown Ult Vy Lt,242,227,206,row 17-18
842,Beige Brown Vy Lt,209,186,161,row 18-21
841,Beige Brown Lt,182,155,126,row 18-22
840,Beige Brown Med,154,124,92,row 18-23
839,Beige Brown Dk,103,85,65,row 18-24
838,Beige Brown Vy Dk,89,73,55,row 18-25
3371,Black Brown,30,17,8,row 17-18
801,Coffee Brown Dk,101,57,25,row 17-15
898,Coffee Brown Vy Dk,73,42,19,row 17-16
938,Coffee Brown Ult Dk,54,31,14,row 17-17
613,Drab Brown V Lt,220,196,170,row 13-01
612,Drab Brown Lt,188,154,120,row 13-02
611,Drab Brown,150,118,86,row 13-03
610,Drab Brown Dk,121,96,71,row 13-04
3827,Golden Brown Pale,247,187,119,row 16-01
977,Golden Brown Light,220,156,86,row 16-02
976,Golden Brown Med,194,129,66,row 16-03
3826,Golden Brown,173,114,57,row 16-04
975,Golden Brown Dk,145,79,18,row 16-05
422,Hazelnut Brown Lt,198,159,123,row 13-11
3828,Hazelnut Brown,183,139,97,row 13-12
420,Hazelnut Brown Dk,160,112,66,row 13-13
869,Hazelnut Brown V Dk,131,94,57,row 13-14
3031,Mocha Brown Vy Dk,75,60,42,row 17-23
3033,Mocha Brown Vy Lt,227,216,204,row 18-15
3782,Mocha Brown Lt,210,188,166,row 18-16
3032,Mocha Brown Med,179,159,139,row 18-17
3781,Mocha Brown Dk,107,87,67,row 18-19
3866,Mocha Brn Ult Vy Lt,250,246,240,row 18-20
973,Canary Bright,255,227,0,row 14-03
972,Canary Deep,255,181,21,row 14-09
894,Carnation Very Light,255,178,187,row 02-01
893,Carnation Light,252,144,162,row 02-02
892,Carnation Medium,255,121,140,row 02-03
891,Carnation Dark,255,87,115,row 02-04
704,Chartreuse Bright,158,207,52,row 11-01
703,Chartreuse,123,181,71,row 11-02
3861,Cocoa Light,166,136,129,row 17-04
3860,Cocoa,125,93,87,row 17-05
779,Cocoa Dark,98,75,69,row 17-06
922,Copper Light,226,115,35,row 15-07
921,Copper,198,98,24,row 15-08
920,Copper Med,172,84,20,row 15-09
352,Coral Light,253,156,151,row 01-08
351,Coral,233,106,103,row 01-09
350,Coral Medium,224,72,72,row 01-10
349,Coral Dark,210,16,53,row 01-11
817,Coral Red Very Dark,187,5,31,row 01-12
605,Cranberry Very Light,255,192,205,row 03-12
604,Cranberry Light,255,176,190,row 03-13
603,Cranberry,255,164,190,row 03-14
602,Cranberry Medium,226,72,116,row 03-15
601,Cranberry Dark,209,40,106,row 03-16
600,Cranberry Very Dark,205,47,99,row 03-17
712,Cream,255,251,239,row 17-07
3806,Cyclamen Pink Light,255,140,174,row 03-18
3805,Cyclamen Pink,243,71,139,row 03-19
3804,Cyclamen Pink Dark,224,40,118,row 03-20
3774,Desert Sand Vy Lt,243,225,215,row 16-19
950,Desert Sand Light,238,211,196,row 16-20
3064,Desert Sand,196,142,112,row 16-21
407,Desert Sand Med,187,129,97,row 16-22
3773,Desert Sand Dark,182,117,82,row 16-23
3772,Desert Sand Vy Dk,160,108,80,row 16-24
632,Desert Sand Ult Vy Dk,135,85,57,row 16-25
Ecru,Ecru,240,234,218,row 18-04
816,Garnet,151,11,35,row 01-21
815,Garnet Medium,135,7,31,row 01-22
814,Garnet Dark,123,0,27,row 01-23
902,Garnet Very Dark,130,38,55,row 04-14
957,Geranium Pale,253,181,181,row 02-06
956,Geranium,255,145,145,row 02-07
3855,Autumn Gold Lt,250,211,150,row 15-20
3854,Autumn Gold Med,242,175,104,row 15-21
3853,Autumn Gold Dk,242,151,70,row 15-22
676,Old Gold Lt,229,206,151,row 13-20
729,Old Gold Medium,208,165,62,row 13-21
680,Old Gold Dark,188,141,14,row 13-22
3829,Old Gold Vy Dark,169,130,4,row 13-23
834,Golden Olive Vy Lt,219,190,127,row 12-20
833,Golden Olive Lt,200,171,108,row 12-21
832,Golden Olive,189,155,81,row 12-22
831,Golden Olive Md,170,143,86,row 12-23
830,Golden Olive Dk,141,120,75,row 12-24
829,Golden Olive Vy Dk,126,107,66,row 12-25
3836,Grape Light,186,145,170,row 04-19
3835,Grape Medium,148,96,131,row 04-20
3834,Grape Dark,114,55,93,row 04-21
154,Grape Very Dark,87,36,51,row 04-22
535,Ash Gray Vy Lt,99,100,88,row 18-14
3072,Beaver Gray Vy Lt,230,232,232,row 19-01
648,Beaver Gray Lt,188,180,172,row 19-02
647,Beaver Gray Med,176,166,156,row 19-03
646,Beaver Gray Dk,135,125,115,row 19-04
645,Beaver Gray Vy Dk,110,101,92,row 19-05
844,Beaver Gray Ult Dk,72,72,72,row 19-06
822,Beige Gray Light,231,226,211,row 18-05
644,Beige Gray Med,221,216,203,row 18-06
642,Beige Gray Dark,164,152,120,row 18-07
640,Beige Gray Vy Dk,133,123,97,row 18-08
3790,Beige Gray Ult Dk,127,106,85,row 18-18
159,Blue Gray Light,199,202,215,row 07-01
160,Blue Gray Medium,153,159,183,row 07-02
161,Blue Gray,120,128,164,row 07-03
3787,Brown Gray Dark,98,93,80,row 18-09
3021,Brown Gray Vy Dk,79,75,65,row 18-10
3024,Brown Gray Vy Lt,235,234,231,row 18-11
3023,Brown Gray Light,177,170,151,row 18-12
3022,Brown Gray Med,142,144,120,row 18-13
762,Pearl Gray Vy Lt,236,236,236,row 19-07
415,Pearl Gray,211,211,214,row 19-08
317,Pewter Gray,108,108,108,row 19-13
413,Pewter Gray Dark,86,86,86,row 19-14
3799,Pewter Gray Vy Dk,66,66,66,row 19-15
453,Shell Gray Light,215,206,203,row 17-01
452,Shell Gray Med,192,179,174,row 17-02
451,Shell Gray Dark,145,123,115,row 17-03
318,Steel Gray Lt,171,171,171,row 19-09
414,Steel Gray Dk,140,140,140,row 19-10
701,Green Light,63,143,41,row 11-04
700,Green Bright,7,115,27,row 11-05
699,Green,5,101,23,row 11-06
472,Avocado Grn U Lt,216,228,152,row 11-11
471,Avocado Grn V Lt,174,191,121,row 11-12
470,Avocado Grn Lt,148,171,79,row 11-13
469,Avocado Green,114,132,60,row 11-14
937,Avocado Green Md,98,113,51,row 11-15
936,Avocado Grn V Dk,76,88,38,row 11-16
935,Avocado Green Dk,66,77,33,row 11-17
934,Avocado Grn Black,49,57,25,row 11-18
504,Blue Green Vy Lt,196,222,204,row 09-22
3813,Blue Green Lt,178,212,189,row 09-23
503,Blue Green Med,123,172,148,row 09-24
502,Blue Green,91,144,113,row 09-25
501,Blue Green Dark,57,111,82,row 09-26
500,Blue Green Vy Dk,4,77,51,row 09-27
3817,Celadon Green Lt,153,195,170,row 09-17
3816,Celadon Green,101,165,125,row 09-18
163,Celadon Green Md,77,131,97,row 09-19
3815,Celadon Green Dk,71,119,89,row 09-20
561,Celadon Green VD,44,106,69,row 09-21
912,Emerald Green Lt,27,157,107,row 10-04
911,Emerald Green Med,24,144,101,row 10-05
910,Emerald Green Dark,24,126,86,row 10-06
909,Emerald Green Vy Dk,21,111,73,row 10-07
3818,Emerald Grn Ult V Dk,17,90,59,row 10-08
523,Fern Green Lt,171,177,151,row 11-19
